id,username,medicine,authentic,score,expiry_status,ocr,sharp,colour,edge,city,lat,lon,barcode,spell_errors,scan_date
3,nithya,Unknown,1,73.8178301078851,unknown,"Warning: To be sold by retail on the
prescription of a Registered Medical
Practitioner only.
s!901117/275416 Miislic. No21/UA/2013 .
Manufactured by: Pure & Cure Healthcare Pvt. Ltd.
A subsidiary of Akums Drugs &
gybraitnaceuticals Ltd)
cO'Blot No. 264, 27-30, Sector-BA, LLE.,
pats & SIDCUL, Ranipur, Haridwar-249 403, Uttarakhand.
fai! Cipla
. Marketed by CIPLA LTD.
Stan tis OR code fo Cipla House, Peninsula Business Park,
Overactive Bladder and Ganpatrao Kadam Marg, Lower Parel,
Lifestyle Manag",100.0,25.193800308243148,100.0,Chennai,13.0827,80.2707,,,2026-03-19 13:56
2,aarifa,Unknown,0,57.538514879680164,unknown,"KU
mee VALE,
in 73= Zee >

oes. : gut (.

ame = | lan",32.87798165555983,45.80348942924063,100.0,Chennai,13.0827,80.2707,,,2026-03-19 13:53
1,aarifa,Unknown,0,71.77812907372538,unknown,"RR Re ees: NN
ranvetnne Hyroeuoc? «Cotati dee ES TDmgsS¢ Mg) pes S
a BSNS ESSN “eS oy ws R

Lys __® BN size below 25°6: Protect fram moisture, baat 3 Man ies may RN .
i No. 7222016 ise drowsiness: Pabientson long ‘aay ‘
maxtra = Nara Ney Se aaah Sioa ate ~
OX tion: 2 SEOAUTRON Lan ENC tila vehiciaoroperatemachinery: . .
Compostion; BS NT 4s hay sla by etal itnout the isd by 682
Each incoated te coh ait Ve a eee eae _ Mangfactutéd by g ;
engfephiine 32S Fa oriegt WORD Zuventus =
raeanines PES SS ",100.0,19.36608306778679,100.0,Chennai,13.0827,80.2707,,,2026-03-19 13:52
